date,polarity,sentiment,keyword
2018-10-02 21:43:06,neutral,0.0,climate change
2018-10-02 21:40:43,neutral,0.0,climate change
2018-10-02 21:42:53,negative,-0.2,climate change
2018-10-02 21:41:34,positive,0.3333333333333333,warming
2018-10-02 21:42:46,neutral,0.0,warming
2018-10-02 21:43:13,neutral,0.0,warming
2018-10-02 21:42:41,negative,-0.278125,warming
2018-10-02 21:41:55,neutral,0.0,warming
2018-10-02 21:41:37,negative,-0.35,climate change
2018-10-02 21:45:11,positive,0.1875,climate change
2018-10-02 21:44:05,negative,-0.0875,warming
2018-10-02 21:44:14,neutral,0.0,climate change
2018-10-02 21:45:09,negative,-0.3499999999999999,climate change
2018-10-02 21:45:03,neutral,0.0,climate change
2018-10-02 21:43:57,neutral,0.0,climate change
2018-10-02 21:44:45,positive,0.06666666666666667,warming
2018-10-02 21:43:24,neutral,0.0,warming
2018-10-02 21:45:38,positive,0.25,climate change
2018-10-02 21:44:21,positive,0.18333333333333335,warming
2018-10-02 21:44:29,positive,0.275,climate change
2018-10-02 21:45:00,negative,-0.016666666666666666,climate change
2018-10-02 21:45:16,neutral,0.0,climate change
2018-10-02 21:44:26,neutral,0.0,climate change
2018-10-02 21:44:14,neutral,0.0,climate change
2018-10-02 21:45:03,neutral,0.0,warming
2018-10-02 21:43:29,positive,0.5,climate change
2018-10-02 21:44:50,neutral,0.0,climate change
2018-10-02 21:44:06,neutral,0.0,warming
2018-10-02 21:48:06,positive,0.19166666666666665,warming
2018-10-02 21:48:01,neutral,0.0,climate change
2018-10-02 21:48:17,neutral,0.0,climate change
2018-10-02 21:46:30,positive,0.13333333333333333,climate change
2018-10-02 21:48:23,positive,0.14285714285714285,climate change
2018-10-02 21:46:40,negative,-0.3333333333333333,climate change
2018-10-02 21:46:28,neutral,0.0,climate change
2018-10-02 21:45:52,neutral,0.0,climate change
2018-10-02 21:47:15,neutral,0.0,climate change
2018-10-02 21:47:08,neutral,0.0,climate change
2018-10-02 21:45:56,positive,0.39999999999999997,climate change
2018-10-02 21:47:15,neutral,0.0,climate change
2018-10-02 21:45:45,positive,0.35,warming
2018-10-02 21:45:45,positive,0.35,warming
